EC,cofactor_id,External Dependence,Substitution Logic,Inhibitor,in_kegg,in_expasy,in_pdbe,comment_kegg,ec_names,comment_expasy,HET,cpdsViaHETs,in_ebi,cofactor_ebi,cofactor_expasy,cofactor_pdbe,match_via_ebi_cofactor,match_via_expasy_cofactor,match_via_kegg,match_via_pdbe_cofactor,source_ebi,EC3_description,EC_cpds,cofactorCIDsInEC,cofactorCIDsInEC_count
1.4.5.1,FAD,TRUE,,,TRUE,TRUE,TRUE,"An iron-sulfur flavoprotein (FAD). The enzyme from the bacterium Helicobacter pylori is highly specific for D-proline, while the enzyme from the bacterium Escherichia coli B is most active with D-alanine, D-phenylalanine and D-methionine. This enzyme may be the same as EC 1.4.99.6.","['D-amino acid dehydrogenase (quinone)', 'DadA']","['The enzyme from the bacterium Helicobacter pylori is highly specific for D-proline, while the enzyme from the bacterium Escherichia coli B is most active with D-alanine, D-phenylalanine and D-methionine.', 'This enzyme may be the same as EC 1.4.99.6.']","['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,"['iron-sulfur', 'flavoprotein', 'FAD']",Flavin adenine dinucleotide,,With a quinone or similar compound as acceptor.,"['C00001', 'C00014', 'C00161', 'C00166', 'C00405', 'C02265', 'C15602', 'C15603']",[],0
1.4.7.1,FAD,TRUE,,,TRUE,TRUE,TRUE,"Binds a [3Fe-4S] cluster as well as FAD and FMN. The protein is composed of two domains, one hydrolysing L-glutamine to NH3 and L-glutamate (cf. EC 3.5.1.2, glutaminase), the other combining the produced NH3 with 2-oxoglutarate to produce a second molecule of L-glutamate. The NH3 is channeled through a 24 A channel in the active protein. No hydrolysis of glutamine takes place without ferredoxin and 2-oxoglutarate being bound to the protein [5,6].","['glutamate synthase (ferredoxin)', 'ferredoxin-dependent glutamate synthase', 'ferredoxin-glutamate synthase', 'glutamate synthase (ferredoxin-dependent)']","['The protein is composed of two domains, one hydrolyzing L-glutamine to NH(3) and L-glutamate (cf. EC 3.5.1.2), the other combining the produced NH(3) with 2-oxoglutarate to produce a second molecule of L-glutamate.', 'The NH(3) is channeled through a 24 A channel in the active protein.', 'No hydrolysis of glutamine takes place without ferredoxin and 2-oxoglutarate being bound to the protein.']","['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,"['3Fe-4S', 'ferredoxin', 'FAD', 'FMN']",Flavin adenine dinucleotide,,With an iron-sulfur protein as acceptor.,"['C00001', 'C00014', 'C00025', 'C00026', 'C00064', 'C00080', 'C00138', 'C00139']",[],0
1.4.99.5,FAD,TRUE,,,TRUE,TRUE,TRUE,"The enzyme from Pseudomonas sp. contains FAD. The enzyme is membrane-bound, and the 2-electron acceptor is a component of the respiratory chain. The enzyme can act with various artificial electron acceptors, including phenazine methosulfate.","['glycine dehydrogenase (cyanide-forming)', 'hydrogen cyanide synthase', 'HCN synthase']","['The enzyme is membrane-bound, and the 2-electron acceptor is a component of the respiratory chain.', 'The enzyme can act with various artificial electron acceptors, including phenazine methosulfate.']","['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,['FAD'],Flavin adenine dinucleotide,,With other acceptors.,"['C00011', 'C00028', 'C00030', 'C00037', 'C00080', 'C00177', 'C01326']",[],0
1.4.99.6,FAD,TRUE,,,TRUE,TRUE,TRUE,"Contains a non-covalent FAD cofactor. The enzyme, which has been isolated from the bacterium Pseudomonas aeruginosa PAO1, forms with EC 1.4.1.25, L-arginine dehydrogenase, a two-enzyme complex involved in the racemization of D- and L-arginine. The enzyme has a broad substrate range and can act on most D-amino acids with the exception of D-glutamate and D-aspartate. However, activity is maximal with D-arginine and D-lysine. Not active on glycine.","['D-arginine dehydrogenase', 'D-amino-acid:(acceptor) oxidoreductase (deaminating)', 'D-amino-acid dehydrogenase', 'D-amino-acid:acceptor oxidoreductase (deaminating)']","['The enzyme, which has been isolated from the bacterium Pseudomonas aeruginosa PAO1, forms with EC 1.4.1.25 a two-enzyme complex involved in the racemization of D- and L-arginine.', 'The enzyme has a broad substrate range and can act on most D-amino acids with the exception of D-glutamate and D-aspartate.', 'However, activity is maximal with D-arginine and D-lysine.', 'Not active on glycine.']","['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,['FAD'],Flavin adenine dinucleotide,,With other acceptors.,"['C00001', 'C00014', 'C00028', 'C00030', 'C00161', 'C00405', 'C00792', 'C03771', 'C05167', 'C21026']",[],0
1.5.1.20,FAD,TRUE,,,TRUE,TRUE,TRUE,A flavoprotein (FAD). Menadione can also serve as an electron acceptor.,"['methylenetetrahydrofolate reductase [NAD(P)H]', 'methylenetetrahydrofolate (reduced nicotinamide adenine dinucleotide phosphate) reductase', '5,10-methylenetetrahydrofolate reductase (NADPH)', '5,10-methylenetetrahydrofolic acid reductase', '5,10-CH2-H4folate reductase', 'methylenetetrahydrofolate reductase (NADPH2)', '5-methyltetrahydrofolate:NAD+ oxidoreductase', '5-methyltetrahydrofolate:NAD+ oxidoreductase', 'methylenetetrahydrofolate (reduced riboflavin adenine dinucleotide) reductase', '5,10-methylenetetrahydrofolate reductase', 'methylenetetrahydrofolate reductase', 'N5,10-methylenetetrahydrofolate reductase', '5,10-methylenetetrahydropteroylglutamate reductase', 'N5,N10-methylenetetrahydrofolate reductase', 'methylenetetrahydrofolic acid reductase', '5-methyltetrahydrofolate:(acceptor) oxidoreductase (incorrect)', '5,10-methylenetetrahydrofolate reductase (FADH2)', 'MetF', 'methylenetetrahydrofolate reductase (NADPH)', '5-methyltetrahydrofolate:NADP+ oxidoreductase']","['A flavoprotein (FAD).', 'The enzyme catalyzes the reversible conversion of 5,10-methylenetetrahydrofolate to 5-methyltetrahydrofolate, playing an important role in folate metabolism by regulating the distribution of one-carbon moieties between cellular methylation reactions and nucleic acid synthesis.', 'This enzyme, characterized from Protozoan parasites of the genus Leishmania, is unique among similar characterized eukaryotic enzymes in that it lacks the C-terminal allosteric regulatory domain (allowing it to catalyze a reversible reaction) and uses NADH and NADPH with equal efficiency under physiological conditions.', 'Cf. EC 1.5.1.53, EC 1.5.1.54, and EC 1.5.7.1.']","['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,"['flavoprotein', 'FAD']",Flavin adenine dinucleotide,,With NAD(+) or NADP(+) as acceptor.,"['C00003', 'C00004', 'C00005', 'C00006', 'C00080', 'C00143', 'C00440']",[],0
1.5.1.38,FAD,TRUE,,,TRUE,,,"The enzymes from bioluminescent bacteria contain FMN [4], while the enzyme from Escherichia coli does not [8]. The enzyme often forms a two-component system with monooxygenases such as luciferase. Unlike EC 1.5.1.39, this enzyme does not use NADH as acceptor [1,2]. While FMN is the preferred substrate, the enzyme can also use FAD and riboflavin with lower activity [3,6,8].","['FMN reductase (NADPH)', 'FRP', 'flavin reductase P', 'SsuE']",,,,,,,,,,"['FAD', 'FMN', 'riboflavin', 'NADH']",,,With NAD(+) or NADP(+) as acceptor.,"['C00005', 'C00006', 'C00061', 'C00080', 'C01847']",[],0
1.5.1.39,FAD,TRUE,"FMN,NAD,Riboflavin",,TRUE,,,"Contains FMN. The enzyme can utilize NADH and NADPH with similar reaction rates. Different from EC 1.5.1.42, FMN reductase (NADH) and EC 1.5.1.38, FMN reductase (NADPH). The luminescent bacterium Vibrio harveyi possesses all three enzymes [1]. Also reduces riboflavin and FAD, but more slowly.","['FMN reductase [NAD(P)H]', 'FRG']",,,,,,,,,,"['FAD', 'FMN', 'riboflavin', 'NADH']",,,With NAD(+) or NADP(+) as acceptor.,"['C00003', 'C00004', 'C00005', 'C00006', 'C00061', 'C00080', 'C01847']",[],0
1.5.1.41,FAD,TRUE,"riboflavin,FMN,FAD",,TRUE,,,"Catalyses the reduction of soluble flavins by reduced pyridine nucleotides. Highest activity with riboflavin. When NADH is used as acceptor, the enzyme can also utilize FMN and FAD as substrates, with lower activity than riboflavin. When NADPH is used as acceptor, the enzyme has a very low activity with FMN and no activity with FAD [1].","['riboflavin reductase [NAD(P)H]', 'NAD(P)H-FMN reductase (ambiguous)', 'NAD(P)H-dependent FMN reductase (ambiguous)', 'NAD(P)H:FMN oxidoreductase (ambiguous)', 'NAD(P)H:flavin oxidoreductase (ambiguous)', 'NAD(P)H2 dehydrogenase (FMN) (ambiguous)', 'NAD(P)H2:FMN oxidoreductase (ambiguous)', 'riboflavin mononucleotide reductase (ambiguous)', 'flavine mononucleotide reductase (ambiguous)', 'riboflavin mononucleotide (reduced nicotinamide adenine dinucleotide (phosphate)) reductase', 'flavin mononucleotide reductase (ambiguous)', 'riboflavine mononucleotide reductase (ambiguous)', 'Fre']",,,,,,,,,,"['FAD', 'FMN', 'riboflavin', 'NADH']",,,With NAD(+) or NADP(+) as acceptor.,"['C00003', 'C00004', 'C00005', 'C00006', 'C00061', 'C00080', 'C00255', 'C01007', 'C01847']",[],0
1.5.1.42,FAD,TRUE,"FMN,FAD",,TRUE,,,"The enzyme often forms a two-component system with monooxygenases. Unlike EC 1.5.1.38, FMN reductase (NADPH), and EC 1.5.1.39, FMN reductase [NAD(P)H], this enzyme has a strong preference for NADH over NADPH, although some activity with the latter is observed [1,2]. While FMN is the preferred substrate, FAD can also be used with much lower activity [1,3].","['FMN reductase (NADH)', 'NADH-FMN reductase', 'NADH-dependent FMN reductase', 'NADH:FMN oxidoreductase', 'NADH:flavin oxidoreductase']",,,,,,,,,,"['FAD', 'FMN', 'NAD']",,,With NAD(+) or NADP(+) as acceptor.,"['C00003', 'C00004', 'C00061', 'C00080', 'C01847']",[],0
1.5.3.1,FAD,TRUE,,,TRUE,TRUE,TRUE,A flavoprotein (FAD). The flavin is both covalently and non-covalently bound in a molar ratio of 1:1.,['sarcosine oxidase'],['The flavin is both covalently and non-covalently bound in a molar ratio of 1:1.'],"['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,"['flavoprotein', 'FAD']",Flavin adenine dinucleotide,,With oxygen as acceptor.,"['C00001', 'C00007', 'C00027', 'C00037', 'C00067', 'C00213']",[],0
1.5.3.10,FAD,TRUE,,,TRUE,TRUE,TRUE,A flavoprotein (FAD). Does not oxidize sarcosine.,['dimethylglycine oxidase'],['Does not oxidize sarcosine.'],"['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,"['flavoprotein', 'FAD']",Flavin adenine dinucleotide,,With oxygen as acceptor.,"['C00001', 'C00007', 'C00027', 'C00067', 'C00213', 'C01026']",[],0
1.5.3.13,FAD,TRUE,,,TRUE,TRUE,TRUE,"The enzyme also catalyses the reaction: N1,N12-diacetylspermine + O2 + H2O = N1-acetylspermidine + 3-acetamamidopropanal + H2O2 [1]. No or very weak activity with spermine, or spermidine in absence of aldehydes. In presence of aldehydes the enzyme catalyses the reactions: 1. spermine + O2 + H2O = spermidine + 3-aminopropanal + H2O2, and with weak efficiency 2. spermidine + O2 + H2O = putrescine + 3-aminopropanal + H2O2 [2]. A flavoprotein (FAD). This enzyme, encoded by the PAOX gene, is found in mammalian peroxisomes and oxidizes N1-acetylated polyamines at the exo (three-carbon) side of the secondary amine, forming 3-acetamamidopropanal. Since the products of the reactions are deacetylated polyamines, this process is known as polyamine back-conversion. Differs in specificity from EC 1.5.3.14 [polyamine oxidase (propane-1,3-diamine-forming)], EC 1.5.3.15 [N8-acetylspermidine oxidase (propane-1,3-diamine-forming)], EC 1.5.3.16 (spermine oxidase) and EC 1.5.3.17 (non-specific polyamine oxidase).","['N1-acetylpolyamine oxidase', 'hPAO-1', 'PAO (ambiguous)', 'mPAO', 'hPAO', 'polyamine oxidase (ambiguous)']","['The enzyme also catalyzes the reaction: N(1),N(12)-diacetylspermine + O(2) + H(2)O = N(1)-acetylspermidine + 3-acetamamidopropanal + H(2)O(2).', 'No or very weak activity with spermine, or spermidine in absence of aldehydes.', 'In presence of aldehydes the enzyme catalyzes the reactions: 1.', 'spermine + O(2) + H(2)O = spermidine + 3-aminopropanal + H(2)O(2), and with weak efficiency 2.', 'spermidine + O(2) + H(2)O = putrescine + 3-aminopropanal + H(2)O(2).', 'Found in mammalian peroxisomes and oxidizes N(1)-acetylated polyamines at the exo (three-carbon) side of the secondary amine, forming 3-acetamamidopropanal.', 'Since the products of the reactions are deacetylated polyamines, this process is known as polyamine back-conversion.', 'Differs in specificity from EC 1.5.3.14, EC 1.5.3.15, EC 1.5.3.16 and EC 1.5.3.17.']","['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,"['flavoprotein', 'FAD']",Flavin adenine dinucleotide,,With oxygen as acceptor.,"['C00001', 'C00007', 'C00027', 'C00134', 'C00315', 'C00612', 'C02567', 'C18170']",[],0
1.5.3.14,FAD,TRUE,,,TRUE,TRUE,TRUE,"As the products of the reaction cannot be converted directly to other polyamines, this class of polyamine oxidases is considered to be involved in the terminal catabolism of polyamines [1]. This enzyme less efficiently catalyses the oxidation of N1-acetylspermine and spermine. A flavoprotein (FAD). Differs in specificity from EC 1.5.3.13 (N1-acetylpolyamine oxidase), EC 1.5.3.15 [N8-acetylspermidine oxidase (propane-1,3-diamine-forming)], EC 1.5.3.16 (spermine oxidase) and EC 1.5.3.17 (non-specific polyamine oxidase).","['polyamine oxidase (propane-1,3-diamine-forming)', 'MPAO (ambiguous)', 'maize PAO']","['As the products of the reaction cannot be converted directly to other polyamines, this class of polyamine oxidases is considered to be involved in the terminal catabolism of polyamines.', 'Catalyzes less efficiently the oxidation of N(1)-acetylspermine and spermine.', 'Differs in specificity from EC 1.5.3.13, EC 1.5.3.15, EC 1.5.3.16 and EC 1.5.3.17.']","['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,"['flavoprotein', 'FAD']",Flavin adenine dinucleotide,,With oxygen as acceptor.,"['C00001', 'C00007', 'C00027', 'C00315', 'C00555', 'C00986']",[],0
1.5.3.15,FAD,TRUE,,,,TRUE,TRUE,"Also active with N1-acetylspermine, weak activity with N1,N12-diacetylspermine. No activity with diaminopropane, putrescine, cadaverine, diaminohexane, norspermidine, spermine and spermidine. Absence of monoamine oxidase (EC 1.4.3.4) activity. Differs in specificity from EC 1.5.3.13 (N1-acetylpolyamine oxidase), EC 1.5.3.14 (polyamine oxidase (propane-1,3-diamine-forming)), EC 1.5.3.16 (spermine oxidase) and EC 1.5.3.17 (non-specific polyamine oxidase).","['N8-acetylspermidine oxidase (propane-1,3-diamine-forming)']","['Also active with N(1)-acetylspermine, weak activity with N(1),N(12)-diacetylspermine.', 'No activity with diaminopropane, putrescine, cadaverine, diaminohexane, norspermidine, spermine and spermidine.', 'Absence of monoamine oxidase (EC 1.4.3.4) activity.', 'Differs in specificity from EC 1.5.3.13, EC 1.5.3.14, EC 1.5.3.16 and EC 1.5.3.17.']","['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,,Flavin adenine dinucleotide,,With oxygen as acceptor.,"['C00001', 'C00007', 'C00027', 'C00986', 'C01029', 'C05936']",[],0
1.5.3.16,FAD,TRUE,,,TRUE,TRUE,TRUE,"The enzyme from Arabidopsis thaliana (AtPAO1) oxidizes norspermine to norspermidine with high efficiency [3]. The mammalian enzyme, encoded by the SMOX gene, is a cytosolic enzyme that catalyses the oxidation of spermine at the exo (three-carbon) side of the tertiary amine. No activity with spermidine. Weak activity with N1-acetylspermine. A flavoprotein (FAD). Differs in specificity from EC 1.5.3.13 (N1-acetylpolyamine oxidase), EC 1.5.3.14 (polyamine oxidase (propane-1,3-diamine-forming)), EC 1.5.3.15 (N8-acetylspermidine oxidase (propane-1,3-diamine-forming) and EC 1.5.3.17 (non-specific polyamine oxidase).","['spermine oxidase', 'PAOh1/SMO', 'PAOh1 (ambiguous)', 'AtPAO1', 'AtPAO4', 'SMO', 'mSMO', 'SMO(PAOh1)', 'SMO/PAOh1', 'SMO5', 'mSMOmu']","['The enzyme from Arabidopsis thaliana (AtPAO1) oxidizes norspermine to norspermidine with high efficiency.', 'The mammalian enzyme, encoded by the SMOX gene, is a cytosolic enzyme that catalyzes the oxidation of spermine at the exo (three-carbon) side of the tertiary amine.', 'No activity with spermidine.', 'Weak activity with N(1)-acetylspermine.', 'Differs in specificity from EC 1.5.3.13, EC 1.5.3.14, EC 1.5.3.15 and EC 1.5.3.17.']","['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,"['flavoprotein', 'FAD']",Flavin adenine dinucleotide,,With oxygen as acceptor.,"['C00001', 'C00007', 'C00027', 'C00315', 'C00750', 'C05665']",[],0
1.5.3.17,FAD,TRUE,,,TRUE,TRUE,TRUE,"A flavoprotein (FAD). The non-specific polyamine oxidases may differ from each other considerably. The enzyme from Saccharomyces cerevisiae shows a rather broad specificity and also oxidizes N8-acetylspermidine [3]. The enzyme from Ascaris suum shows high activity with spermine and spermidine, but also oxidizes norspermine [2]. The enzyme from Arabidopsis thaliana shows high activity with spermidine, but also oxidizes other polyamines [1]. The specific polyamine oxidases are classified as EC 1.5.3.13 (N1-acetylpolyamine oxidase), EC 1.5.3.14 (polyamine oxidase (propane-1,3-diamine-forming)), EC 1.5.3.15 (N8-acetylspermidine oxidase (propane-1,3-diamine-forming)) and EC 1.5.3.16 (spermine oxidase).","['non-specific polyamine oxidase', 'polyamine oxidase (ambiguous)', 'Fms1', 'AtPAO3']","['The non-specific polyamine oxidases may differ from each other considerably.', 'The enzyme from Saccharomyces cerevisiae shows a rather broad specificity and also oxidizes N(8)-acetylspermidine.', 'The enzyme from Ascaris suum shows high activity with spermine and spermidine, but also oxidizes norspermine.', 'The enzyme from Arabidopsis thaliana shows high activity with spermidine, but also oxidizes other polyamines.', 'The specific polyamine oxidases are classified as EC 1.5.3.13, EC 1.5.3.14, EC 1.5.3.15 and EC 1.5.3.16.']","['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,"['flavoprotein', 'FAD']",Flavin adenine dinucleotide,,With oxygen as acceptor.,"['C00001', 'C00007', 'C00027', 'C00134', 'C00315', 'C00612', 'C00750', 'C02567', 'C05665', 'C18170']",[],0
1.5.3.18,FAD,TRUE,,,TRUE,TRUE,TRUE,The enzyme is involved in pipecolic acid biosynthesis. A flavoprotein (FAD).,"['L-saccharopine oxidase', 'FAP2']",['The enzyme is involved in pipecolic acid biosynthesis.'],"['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,"['flavoprotein', 'FAD']",Flavin adenine dinucleotide,,With oxygen as acceptor.,"['C00001', 'C00007', 'C00025', 'C00027', 'C00449', 'C04076']",[],0
1.5.3.19,FAD,TRUE,,,TRUE,TRUE,TRUE,A flavoprotein (FAD). In the enzyme from the soil bacterium Arthrobacter nicotinovorans the cofactor is covalently bound. Participates in the nicotine degradation pathway of this organism.,"['4-methylaminobutanoate oxidase (formaldehyde-forming)', 'mabO (gene name)']","['In the enzyme from the soil bacterium Arthrobacter nicotinovorans the cofactor is covalently bound.', 'Participates in the nicotine degradation pathway of this organism.']","['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,"['flavoprotein', 'FAD']",Flavin adenine dinucleotide,,With oxygen as acceptor.,"['C00001', 'C00007', 'C00027', 'C00067', 'C00334', 'C15987']",[],0
1.5.3.2,FAD,TRUE,,,,,TRUE,A flavoprotein.,"['N-methyl-L-amino-acid oxidase', 'N-methylamino acid oxidase', 'demethylase']",,"['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,,Flavin adenine dinucleotide,,,,Flavin adenine dinucleotide,,With oxygen as acceptor.,"['C00001', 'C00007', 'C00027', 'C00067', 'C00151', 'C03148']",[],0
1.5.3.23,FAD,TRUE,,,TRUE,TRUE,,"The enzyme, characterized from the bacterium Ochrobactrum sp. G-1, contains an FAD cofactor. The catalytic cycle starts with a reduction of the FAD cofactor by one molecule of glyphosate, yielding reduced FAD and a Schiff base of aminomethylphosphonate with glyoxylate that is hydrolysed to the single components. The reduced FAD is reoxidized by oxygen, generating water and an oxygenated flavin intermediate, which catalyses the oxygenation of a second molecule of glyphosate, forming the second pair of aminomethylphosphonate and glyoxylate.","['glyphosate oxidoreductase', 'gox (gene name)']","['Characterized from the bacterium Ochrobactrum sp. G-1.', 'The catalytic cycle starts with a reduction of the FAD cofactor by one molecule of glyphosate, yielding reduced FAD and a Schiff base of aminomethylphosphonate with glyoxylate that is hydrolyzed to the single components.', 'The reduced FAD is reoxidized by oxygen, generating water and an oxygenated flavin intermediate, which catalyzes the oxygenation of a second molecule of glyphosate, forming the second pair of aminomethylphosphonate and glyoxylate.']",,,,,FAD,,,FAD,['FAD'],,,With oxygen as acceptor.,"['C00007', 'C00048', 'C01705', 'C11033']",[],0
1.5.3.5,FAD,TRUE,,,TRUE,TRUE,TRUE,"A flavoprotein (FAD). The enzyme, which participates in nicotine degradation, is specific for the (S) isomer of 6-hydroxynicotine. The bacterium Arthrobacter nicotinovorans, in which this enzyme was originally discovered, has a different enzyme that catalyses a similar reaction with the less common (R)-isomer (cf. EC 1.5.3.6, (R)-6-hydroxynicotine oxidase).","['(S)-6-hydroxynicotine oxidase', 'L-6-hydroxynicotine oxidase', '6-hydroxy-L-nicotine oxidase', '6-hydroxy-L-nicotine:oxygen oxidoreductase', 'nctB (gene name)']","['The enzyme, which participates in nicotine degradation, is specific for the (S) isomer of 6-hydroxynicotine.', 'The bacterium Arthrobacter nicotinovorans, in which this enzyme was originally discovered, has a different enzyme that catalyzes a similar reaction with the less common (R)-isomer (cf. EC 1.5.3.6).']","['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,"['flavoprotein', 'FAD']",Flavin adenine dinucleotide,,With oxygen as acceptor.,"['C00001', 'C00007', 'C00027', 'C01056', 'C01297', 'C21075']",[],0
1.5.3.6,FAD,TRUE,,,TRUE,TRUE,TRUE,"A flavoprotein (FAD). The enzyme, which participates in nicotine degradation, is specific for (R) isomer of 6-hydroxynicotine, derived from the uncommon (R)-nicotine. The bacterium Arthrobacter nicotinovorans, in which this enzyme was originally discovered, has a different enzyme that catalyses a similar reaction with the (S)-isomer (cf. EC 1.5.3.5, (S)-6-hydroxynicotine oxidase).","['(R)-6-hydroxynicotine oxidase', 'D-6-hydroxynicotine oxidase', '6-hydroxy-D-nicotine oxidase']","['The enzyme, which participates in nicotine degradation, is specific for (R) isomer of 6-hydroxynicotine, derived from the uncommon (R)-nicotine.', 'The bacterium Arthrobacter nicotinovorans, in which this enzyme was originally discovered, has a different enzyme that catalyzes a similar reaction with the (S)-isomer (cf. EC 1.5.3.5).']","['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,"['flavoprotein', 'FAD']",Flavin adenine dinucleotide,,With oxygen as acceptor.,"['C00001', 'C00007', 'C00027', 'C01297', 'C03043', 'C21075']",[],0
1.5.5.1,FAD,TRUE,,,,TRUE,TRUE,"An iron-sulfur flavoprotein, forming part of the mitochondrial electron-transfer system.","['electron-transferring-flavoprotein dehydrogenase', 'ETF-QO', 'ETF:ubiquinone oxidoreductase', 'electron transfer flavoprotein dehydrogenase', 'electron transfer flavoprotein Q oxidoreductase', 'electron transfer flavoprotein-ubiquinone oxidoreductase', 'electron transfer flavoprotein reductase']",['Forms part of the mitochondrial electron-transfer system.'],"['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,,Flavin adenine dinucleotide,,With a quinone or similar compound as acceptor.,"['C00390', 'C00399', 'C04253', 'C04570']",[],0
1.5.5.2,FAD,TRUE,,,TRUE,TRUE,TRUE,"A flavoprotein (FAD). The electrons from L-proline are transferred to the FAD cofactor, and from there to a quinone acceptor [3]. In many organisms, ranging from bacteria to mammals, proline is oxidized to glutamate in a two-step process involving this enzyme and EC 1.2.1.88, L-glutamate gamma-semialdehyde dehydrogenase. Both activities are carried out by the same enzyme in enterobacteria.","['proline dehydrogenase', 'L-proline dehydrogenase', 'L-proline:(acceptor) oxidoreductase']","['The electrons from L-proline are transferred to the FAD cofactor, and from there to a quinone acceptor.', 'In many organisms, ranging from bacteria to mammals, proline is oxidized to glutamate in a two-step process involving this enzyme and EC 1.2.1.88.', 'Both activities are carried out by the same enzyme in enterobacteria.']","['6FA', 'FA8', 'FAA', 'FAB', 'FAD', 'FAE', 'FAO', 'FAS', 'FCG', 'FDA', 'FED', 'FSH', 'P5F', 'RFL', 'SFD']","['C00016', 'C01352']",,,FAD,Flavin adenine dinucleotide,,FAD,"['flavoprotein', 'FAD', 'quinone']",Flavin adenine dinucleotide,,With a quinone or similar compound as acceptor.,"['C00148', 'C03912', 'C15602', 'C15603']",[],0
