ec,rule,rn
1.17.4.1,1074_150_2500,R04294
1.17.4.1,103_2500,R08363
1.17.4.1,103_2500,R08364
1.17.4.1,103_2500,R11893
1.17.4.1,103_2500,R02017
1.17.4.1,103_2500,R02018
1.17.4.1,103_2500,R02019
1.17.4.1,103_2500,R02024
1.17.4.1,103_2500,R04294
1.17.4.1,1074_2500,R08363
1.17.4.1,1074_2500,R08364
1.17.4.1,1074_2500,R11893
1.17.4.1,1074_2500,R02017
1.17.4.1,1074_2500,R02018
1.17.4.1,1074_2500,R02019
1.17.4.1,1074_2500,R02024
1.17.4.1,1074_2500,R04294
1.17.4.1,103_150,R08363
1.17.4.1,103_150,R08364
1.17.4.1,103_150,R11893
1.17.4.1,103_150,R02017
1.17.4.1,103_150,R02018
1.17.4.1,103_150,R02019
1.17.4.1,103_150,R02024
1.17.4.1,103_150,R04294
1.17.4.2,2500,R02014
1.17.4.2,2500,R02020
1.17.4.2,2500,R02022
1.17.4.2,2500,R02023
1.17.4.2,2500,R04315
1.17.4.2,1074_2500_3005,R02014
1.17.4.2,1074_2500_3005,R02020
1.17.4.2,1074_2500_3005,R02022
1.17.4.2,1074_2500_3005,R02023
1.17.4.2,1074_2500_3005,R04315
1.17.5.3,1_1001_2003,R09494
1.17.7.2,3740,R09071
1.17.7.3,2002_296,R10859
1.17.7.3,2002,R10859
1.17.7.4,7588,R05884
1.17.7.4,7588,R08210
1.17.9.1,217_304,R11194
1.17.9.1,217_304,R02675
1.17.9.1,217_304,R12133
1.17.9.1,217_304,R12134
1.17.99.2,1_1001_11_2003_205,R05745
1.17.99.6,109_205_304,R12500
1.18.1.1,375,R02000
1.18.1.1,2003_244,R02000
1.18.1.2,7514,R01195
1.18.1.2,7514,R10159
1.18.1.2,2003_244,R01195
1.18.1.2,2003_244,R10159
1.18.1.2,1_187_2003_3695_7514,R01195
1.18.1.2,1_187_2003_3695_7514,R10159
1.18.1.2,1_7514,R01195
1.18.1.2,1_7514,R10159
1.18.1.2,2003,R01195
1.18.1.2,2003,R10159
1.18.1.2,1_3695_7514,R01195
1.18.1.2,1_3695_7514,R10159
1.18.1.3,1_221_7514,R02000
1.18.1.3,1_221_7514,R05875
1.18.1.3,2003_244,R05875
1.18.1.5,2003_244,R10048
1.18.6.1,1176_2007,R00002
1.18.6.1,1176_2007,R00067
1.18.6.1,1176_2007,R00153
1.18.6.1,1176_2007,R02802
1.18.6.1,1176_2007,R04782
1.18.6.1,1176_2007,R05496
1.18.6.1,1176_2007,R05185
1.18.6.1,2007,R00002
1.18.6.1,2007,R00067
1.18.6.1,2007,R00153
1.18.6.1,2007,R02802
1.18.6.1,2007,R04782
1.18.6.1,2007,R05496
1.18.6.1,2007,R05185
1.18.6.1,2004,R00002
1.18.6.1,2004,R00067
1.18.6.1,2004,R00153
1.18.6.1,2004,R02802
1.18.6.1,2004,R04782
1.18.6.1,2004,R05496
1.18.6.1,2004,R05185
1.18.6.1,2004_2007,R00002
1.18.6.1,2004_2007,R00067
1.18.6.1,2004_2007,R00153
1.18.6.1,2004_2007,R02802
1.18.6.1,2004_2007,R04782
1.18.6.1,2004_2007,R05496
1.18.6.1,2004_2007,R05185
1.19.1.1,1_7514,R11485
1.2.1.10,7524,R01172
1.2.1.10,7524,R00228
1.2.1.10,2007_4002,R01172
1.2.1.10,2007_4002,R00228
1.2.1.10,2003_298,R01172
1.2.1.10,2003_298,R00228
1.2.1.10,2007_4002_7524,R01172
1.2.1.10,2007_4002_7524,R00228
1.2.1.100,129_2003,R04524
1.2.1.103,2003_298,R09777
1.2.1.11,2003_298,R02291
1.2.1.12,2003_298,R01061
1.2.1.13,2003_298,R01063
1.2.1.16,7524,R00713
1.2.1.16,7524,R00714
1.2.1.19,7524,R00904
1.2.1.19,7524,R12215
1.2.1.19,7524,R02549
1.2.1.21,7524,R01333
1.2.1.22,7524,R00203
1.2.1.22,7524,R01446
1.2.1.26,7524,R00264
1.2.1.27,7524,R00705
1.2.1.27,7524,R00922
1.2.1.27,7524,R00935
1.2.1.28,7524,R01293
1.2.1.28,7524,R05289
1.2.1.28,7524,R05663
1.2.1.28,7524,R05664
1.2.1.28,7524,R07667
1.2.1.28,7524,R01419
1.2.1.3,7524,R01986
1.2.1.3,7524,R02957
1.2.1.3,7524,R05237
1.2.1.3,7524,R05238
1.2.1.3,7524,R00538
1.2.1.3,7524,R00631
1.2.1.3,7524,R00710
1.2.1.3,7524,R01752
1.2.1.3,7524,R02678
1.2.1.3,7524,R02940
1.2.1.3,7524,R03283
1.2.1.3,7524,R03869
1.2.1.3,7524,R04065
1.2.1.3,7524,R04506
1.2.1.3,7524,R04903
1.2.1.3,7524,R05050
1.2.1.3,7524,R05286
1.2.1.3,7524,R06366
1.2.1.3,7524,R08146
1.2.1.30,327_4011_7584,R01490
1.2.1.31,7524,R03102
1.2.1.31,7524,R03103
1.2.1.31,7524,R02317
1.2.1.31,7524,R11231
1.2.1.31,7524,R11232
1.2.1.36,7524,R08385
1.2.1.36,7524,R02123
1.2.1.38,7531,R03443
1.2.1.38,213_7531,R03443
1.2.1.38,2003_298,R03443
1.2.1.39,7524,R02536
1.2.1.4,7524,R00634
1.2.1.4,7524,R00711
1.2.1.4,7524,R05099
1.2.1.41,7524,R03313
1.2.1.44,2003,R01615
1.2.1.44,2003,R01941
1.2.1.44,2003,R02193
1.2.1.44,2003,R02220
1.2.1.44,2003,R06569
1.2.1.44,2003,R02506
1.2.1.46,2003_236,R00604
1.2.1.5,7524,R07104
1.2.1.5,7524,R02537
1.2.1.5,7524,R02695
1.2.1.5,7524,R02697
1.2.1.5,7524,R03300
1.2.1.5,7524,R03302
1.2.1.5,7524,R04882
1.2.1.5,7524,R04883
1.2.1.5,7524,R04888
1.2.1.5,7524,R04889
1.2.1.5,7524,R04891
1.2.1.5,7524,R04892
1.2.1.5,7524,R04996
1.2.1.5,7524,R08282
1.2.1.5,7524,R08283
1.2.1.5,7524,R08307
1.2.1.54,7524,R03177
1.2.1.60,7524,R04418
1.2.1.65,7524,R02941
1.2.1.7,7524,R01294
1.2.1.7,7524,R07666
1.2.1.7,7524,R01420
1.2.1.70,2003_304_547,R04109
1.2.1.70,547,R04109
1.2.1.70,2003,R04109
1.2.1.71,7524,R05049
1.2.1.72,2003_298,R01825
1.2.1.75,2003_298,R00740
1.2.1.8,7524,R02566
1.2.1.8,7524,R02565
1.2.1.88,101,R00707
1.2.1.88,101,R00708
1.2.1.88,101,R04444
1.2.1.88,101,R04445
1.2.1.88,101,R05051
1.2.1.88,101,R00245
1.2.1.88,2002_7524,R00707
1.2.1.88,2002_7524,R00708
1.2.1.88,2002_7524,R04444
1.2.1.88,2002_7524,R04445
1.2.1.88,2002_7524,R05051
1.2.1.88,2002_7524,R00245
1.2.1.88,7524,R00707
1.2.1.88,7524,R00708
1.2.1.88,7524,R04444
1.2.1.88,7524,R04445
1.2.1.88,7524,R05051
1.2.1.88,7524,R00245
1.2.1.88,2002_503_7524,R00707
1.2.1.88,2002_503_7524,R00708
1.2.1.88,2002_503_7524,R04444
1.2.1.88,2002_503_7524,R04445
1.2.1.88,2002_503_7524,R05051
1.2.1.88,2002_503_7524,R00245
1.2.1.88,2002_503,R00707
1.2.1.88,2002_503,R00708
1.2.1.88,2002_503,R04444
1.2.1.88,2002_503,R04445
1.2.1.88,2002_503,R05051
1.2.1.88,2002_503,R00245
1.2.1.89,7524,R10615
1.2.1.9,7524,R01058
1.2.1.90,7524,R10860
1.2.1.91,222_7524,R09820
1.2.3.1,179_217_221_231_244_325,R04085
1.2.3.1,179_217_221_231_244_325,R08408
1.2.3.1,179_217_221_231_244_325,R00635
1.2.3.1,179_217_221_231_244_325,R01709
1.2.3.1,179_217_221_231_244_325,R02125
1.2.3.1,179_217_221_231_244_325,R02657
1.2.3.1,179_217_221_231_244_325,R03871
1.2.3.1,179_217_221_231_244_325,R04904
1.2.3.1,179_217_221_231_244_325,R08349
1.2.3.1,179_217_221_231_244_325,R08384
1.2.3.3,2003_7574,R00207
1.2.3.4,10,R00273
1.2.3.4,6,R00273
1.2.4.1,7522_7574,R00014
1.2.4.1,7522_7574,R03270
1.2.4.1,7522_7574,R01699
1.2.4.2,7522_7574,R00621
1.2.4.2,7522_7574,R01933
1.2.4.2,7522_7574,R01940
1.2.4.2,7522_7574,R03316
1.2.4.2,7522_7574,R01700
1.2.4.2,323_7522_7574,R00621
1.2.4.2,323_7522_7574,R01933
1.2.4.2,323_7522_7574,R01940
1.2.4.2,323_7522_7574,R03316
1.2.4.2,323_7522_7574,R01700
1.2.4.4,7522_7574,R01702
1.2.4.4,7522_7574,R04225
1.2.4.4,7522_7574,R07599
1.2.4.4,7522_7574,R07600
1.2.4.4,7522_7574,R07601
1.2.4.4,7522_7574,R07602
1.2.4.4,7522_7574,R07603
1.2.4.4,7522_7574,R07604
1.2.4.4,7522_7574,R10996
1.2.4.4,7522_7574,R10997
1.2.4.4,7522_7574,R01701
1.2.4.4,2003,R01702
1.2.4.4,2003,R04225
1.2.4.4,2003,R07599
1.2.4.4,2003,R07600
1.2.4.4,2003,R07601
1.2.4.4,2003,R07602
1.2.4.4,2003,R07603
1.2.4.4,2003,R07604
1.2.4.4,2003,R10996
1.2.4.4,2003,R10997
1.2.4.4,2003,R01701
1.2.4.4,323,R01702
1.2.4.4,323,R04225
1.2.4.4,323,R07599
1.2.4.4,323,R07600
1.2.4.4,323,R07601
1.2.4.4,323,R07602
1.2.4.4,323,R07603
1.2.4.4,323,R07604
1.2.4.4,323,R10996
1.2.4.4,323,R10997
1.2.4.4,323,R01701
1.2.5.1,2003_7574,R03145
1.2.5.3,179_217_221_231_244_325,R11168
1.2.7.1,2004_205_633_7522_7574,R01199
1.2.7.1,2004_205_633_7522_7574,R08034
1.2.7.1,2004_205_633_7522_7574,R01196
1.2.7.1,2004,R01199
1.2.7.1,2004,R08034
1.2.7.1,2004,R01196
1.2.7.10,2004_205_7522_7574,R09486
1.2.7.11,2004_7522_7574,R01196
1.2.7.11,2004_7522_7574,R01197
1.2.7.11,2004_7522_7574,R10516
1.2.7.11,7522_7574,R01196
1.2.7.11,7522_7574,R01197
1.2.7.11,7522_7574,R10516
1.2.7.12,207,R08060
1.2.7.12,207,R03015
1.2.7.12,207,R11743
1.2.7.4,187_4044_7586,R08034
1.2.7.4,187_4044_7586,R09317
1.2.7.4,187_4044_7586,R07157
1.2.7.4,4017_4044_7586,R08034
1.2.7.4,4017_4044_7586,R09317
1.2.7.4,4017_4044_7586,R07157
1.2.7.4,4044_7586,R08034
1.2.7.4,4044_7586,R09317
1.2.7.4,4044_7586,R07157
1.2.7.5,169_806,R07158
1.2.7.5,169_806,R08571
1.2.98.1,2003_236,R00614
1.2.99.6,1109_179_217_221_231_244_325,R00326
1.2.99.6,1109_179_217_221_231_244_325,R00544
1.2.99.6,1109_179_217_221_231_244_325,R00638
1.2.99.7,179_221_231_325,R00544
1.2.99.7,179_221_231_325,R00638
1.20.1.1,2003,R05746
1.20.4.1,2007,R05747
1.20.4.1,2485,R05747
1.20.4.2,109_2485,R05748
1.20.4.4,2007,R10927
1.20.9.1,3156,R09787
1.20.9.1,3156,R05751
1.20.9.1,1_1001_2003_4294_66,R09787
1.20.9.1,1_1001_2003_4294_66,R05751
1.21.1.1,304,R10059
1.21.1.1,304,R09521
1.21.1.1,304,R09522
1.21.3.1,10,R04872
1.21.3.3,217_304,R03831
1.21.3.7,217_304,R12101
1.21.99.3,2485,R07230
1.23.1.1,2003,R10225
1.23.1.3,2003,R10227
1.23.1.4,2003,R10228
1.23.5.1,9,R10055
1.23.5.1,9,R07178
1.23.5.1,9,R07179
1.3.1.10,2003,R10118
1.3.1.10,2003,R10122
1.3.1.10,2003,R01404
1.3.1.10,2003,R04430
1.3.1.10,2003,R04725
1.3.1.10,2003,R04956
1.3.1.10,2003,R04959
1.3.1.10,2003,R04962
1.3.1.10,2003,R04967
1.3.1.10,2003,R04970
1.3.1.100,2002,R12090
1.3.1.101,2003_244,R10325
1.3.1.101,2003_244,R10326
1.3.1.102,2003_236,R07350
1.3.1.103,2003_236,R10418
1.3.1.104,2003_236,R01404
1.3.1.104,2003_236,R04430
1.3.1.104,2003_236,R04725
1.3.1.104,2003_236,R04956
1.3.1.104,2003_236,R04959
1.3.1.104,2003_236,R04962
1.3.1.104,2003_236,R04967
1.3.1.104,2003_236,R04970
1.3.1.105,2003_236,R10593
1.3.1.108,2003_2005_205_4033_4052_633,R11674
1.3.1.112,2003,R11426
1.3.1.112,2003,R11427
1.3.1.12,129_2003_304,R01728
1.3.1.12,304,R01728
1.3.1.12,129_2003,R01728
1.3.1.122,2003,R12517
1.3.1.122,2003,R12518
1.3.1.13,129_2003,R01730
1.3.1.14,2002,R01869
1.3.1.2,187_2002_2003_205,R01415
1.3.1.2,187_2002_2003_205,R08226
1.3.1.2,187_2002_2003_205,R00978
1.3.1.20,2003_298,R07015
1.3.1.20,2003_298,R09420
1.3.1.20,2003_298,R00814
1.3.1.20,2002,R07015
1.3.1.20,2002,R09420
1.3.1.20,2002,R00814
1.3.1.24,2003_298,R02391
1.3.1.24,2003_298,R02393
1.3.1.24,2003,R02391
1.3.1.24,2003,R02393
1.3.1.28,2003,R01505
1.3.1.3,2002,R01835
1.3.1.3,2002,R02219
1.3.1.3,2002,R02498
1.3.1.3,2002,R02841
1.3.1.3,2002,R03713
1.3.1.3,2002,R03850
1.3.1.3,2002,R04817
1.3.1.3,2002,R04823
1.3.1.3,2002,R02609
1.3.1.3,2002,R02893
1.3.1.3,2003,R01835
1.3.1.3,2003,R02219
1.3.1.3,2003,R02498
1.3.1.3,2003,R02841
1.3.1.3,2003,R03713
1.3.1.3,2003,R03850
1.3.1.3,2003,R04817
1.3.1.3,2003,R04823
1.3.1.3,2003,R02609
1.3.1.3,2003,R02893
1.3.1.32,2007_4002,R05355
1.3.1.32,2007_4002,R06848
1.3.1.32,2007_4002,R07781
1.3.1.32,2007_4002,R09137
1.3.1.32,2007_4002,R09138
1.3.1.32,2007_4002,R09223
1.3.1.32,2007_4002,R09224
1.3.1.32,2007_4002,R02988
1.3.1.32,2007_4002,R02989
1.3.1.33,2003,R06286
1.3.1.33,2003,R03845
1.3.1.34,2003,R04319
1.3.1.34,2003,R12620
1.3.1.34,2002_2003,R04319
1.3.1.34,2002_2003,R12620
1.3.1.38,2003,R01278
1.3.1.38,2003,R03776
1.3.1.38,2003,R03856
1.3.1.38,2003,R03989
1.3.1.38,2003,R04753
1.3.1.38,2003,R06985
1.3.1.38,2003,R07162
1.3.1.39,2007_304_6094,R01404
1.3.1.39,2007_304_6094,R04430
1.3.1.39,2007_304_6094,R04725
1.3.1.39,2007_304_6094,R04956
1.3.1.39,2007_304_6094,R04959
1.3.1.39,2007_304_6094,R04962
1.3.1.39,2007_304_6094,R04967
1.3.1.39,2007_304_6094,R04970
1.3.1.39,2003_222_236,R01404
1.3.1.39,2003_222_236,R04430
1.3.1.39,2003_222_236,R04725
1.3.1.39,2003_222_236,R04956
1.3.1.39,2003_222_236,R04959
1.3.1.39,2003_222_236,R04962
1.3.1.39,2003_222_236,R04967
1.3.1.39,2003_222_236,R04970
1.3.1.39,2003_2007_222_236_304_6094_7581,R01404
1.3.1.39,2003_2007_222_236_304_6094_7581,R04430
1.3.1.39,2003_2007_222_236_304_6094_7581,R04725
1.3.1.39,2003_2007_222_236_304_6094_7581,R04956
1.3.1.39,2003_2007_222_236_304_6094_7581,R04959
1.3.1.39,2003_2007_222_236_304_6094_7581,R04962
1.3.1.39,2003_2007_222_236_304_6094_7581,R04967
1.3.1.39,2003_2007_222_236_304_6094_7581,R04970
1.3.1.39,7579,R01404
1.3.1.39,7579,R04430
1.3.1.39,7579,R04725
1.3.1.39,7579,R04956
1.3.1.39,7579,R04959
1.3.1.39,7579,R04962
1.3.1.39,7579,R04967
1.3.1.39,7579,R04970
1.3.1.39,132,R01404
1.3.1.39,132,R04430
1.3.1.39,132,R04725
1.3.1.39,132,R04956
1.3.1.39,132,R04959
1.3.1.39,132,R04962
1.3.1.39,132,R04967
1.3.1.39,132,R04970
1.3.1.39,2007_304_6094_7581,R01404
1.3.1.39,2007_304_6094_7581,R04430
1.3.1.39,2007_304_6094_7581,R04725
1.3.1.39,2007_304_6094_7581,R04956
1.3.1.39,2007_304_6094_7581,R04959
1.3.1.39,2007_304_6094_7581,R04962
1.3.1.39,2007_304_6094_7581,R04967
1.3.1.39,2007_304_6094_7581,R04970
1.3.1.42,2002,R03401
1.3.1.43,129_2003,R00732
1.3.1.44,2003,R00384
1.3.1.44,2003,R01171
1.3.1.45,2003,R06563
1.3.1.45,2003,R07747
1.3.1.45,2003,R07751
1.3.1.45,2003,R06562
1.3.1.48,2003_236,R04556
1.3.1.48,2003_236,R04557
1.3.1.54,2003,R05150
1.3.1.56,2003,R05241
1.3.1.56,2003,R05239
1.3.1.6,2003_278,R00402
1.3.1.70,3447_6166,R07483
1.3.1.70,3447_6166,R05639
1.3.1.70,4,R07483
1.3.1.70,4,R05639
1.3.1.74,5050,R07349
1.3.1.74,5050,R07350
1.3.1.74,2003_236,R07349
1.3.1.76,1137_2003_4029_4049_7550,R03947
1.3.1.76,2003_4029_4049,R03947
1.3.1.82,2003,R06417
1.3.1.84,2003_236,R00919
1.3.1.86,2003_236,R09738
1.3.1.9,2007_304_3322,R01403
1.3.1.9,2007_304_3322,R04429
1.3.1.9,2007_304_3322,R04724
1.3.1.9,2007_304_3322,R04955
1.3.1.9,2007_304_3322,R04958
1.3.1.9,2007_304_3322,R04961
1.3.1.9,2007_304_3322,R04966
1.3.1.9,2007_304_3322,R04969
1.3.1.9,2007_304_3322,R07765
1.3.1.9,2003_236,R01403
1.3.1.9,2003_236,R04429
1.3.1.9,2003_236,R04724
1.3.1.9,2003_236,R04955
1.3.1.9,2003_236,R04958
1.3.1.9,2003_236,R04961
1.3.1.9,2003_236,R04966
1.3.1.9,2003_236,R04969
1.3.1.9,2003_236,R07765
1.3.1.9,2002_2007_222_304_3321_3322_3323,R01403
1.3.1.9,2002_2007_222_304_3321_3322_3323,R04429
1.3.1.9,2002_2007_222_304_3321_3322_3323,R04724
1.3.1.9,2002_2007_222_304_3321_3322_3323,R04955
1.3.1.9,2002_2007_222_304_3321_3322_3323,R04958
1.3.1.9,2002_2007_222_304_3321_3322_3323,R04961
1.3.1.9,2002_2007_222_304_3321_3322_3323,R04966
1.3.1.9,2002_2007_222_304_3321_3322_3323,R04969
1.3.1.9,2002_2007_222_304_3321_3322_3323,R07765
1.3.1.9,2002,R01403
1.3.1.9,2002,R04429
1.3.1.9,2002,R04724
1.3.1.9,2002,R04955
1.3.1.9,2002,R04958
1.3.1.9,2002,R04961
1.3.1.9,2002,R04966
1.3.1.9,2002,R04969
1.3.1.9,2002,R07765
1.3.1.9,2003,R01403
1.3.1.9,2003,R04429
1.3.1.9,2003,R04724
1.3.1.9,2003,R04955
1.3.1.9,2003,R04958
1.3.1.9,2003,R04961
1.3.1.9,2003,R04966
1.3.1.9,2003,R04969
1.3.1.9,2003,R07765
1.3.1.92,2002,R10075
1.3.1.93,221,R07761
1.3.1.93,221,R09449
1.3.1.93,221,R10828
1.3.1.98,217_313,R03191
1.3.1.98,217_313,R03192
1.3.3.11,101,R07353
1.3.3.11,150,R07353
1.3.3.14,217_304,R09335
1.3.3.15,2003_244,R04178
1.3.3.3,867,R03220
1.3.3.4,2003_244,R03222
1.3.3.5,3156,R02394
1.3.3.6,4033_4052_633,R01175
1.3.3.6,4033_4052_633,R01279
1.3.3.6,4033_4052_633,R03777
1.3.3.6,4033_4052_633,R03857
1.3.3.6,4033_4052_633,R03990
1.3.3.6,4033_4052_633,R04751
1.3.3.6,4033_4052_633,R04754
1.3.3.6,4033_4052_633,R07888
1.3.3.6,4033_4052_633,R07892
1.3.3.6,4033_4052_633,R07896
1.3.3.6,4033_4052_633,R12356
1.3.3.6,4033_4052_633,R00388
1.3.3.6,4033_4052_633,R07934
1.3.3.6,4033_4052_633,R07950
1.3.5.1,2003_278_604,R02164
1.3.5.1,187_221,R02164
1.3.5.1,187_2003_221_278_604,R02164
1.3.5.2,2002,R01868
1.3.5.4,101_139_2003_278,R02164
1.3.5.4,139_2003_278,R02164
1.3.5.5,2003_244,R04786
1.3.5.5,2003_244,R04787
1.3.5.5,2003_244,R09652
1.3.5.5,2003_244,R09653
1.3.5.5,2003_244,R09654
1.3.7.12,867,R09032
1.3.7.2,867,R05818
1.3.7.4,867,R03678
1.3.7.5,867,R05817
1.3.7.6,867,R09491
1.3.7.7,148_2004_2007,R06282
1.3.7.7,2007,R06282
1.3.7.7,2004,R06282
1.3.7.7,148,R06282
1.3.8.1,4033_4052_611_633,R02661
1.3.8.1,4033_4052_611_633,R03172
1.3.8.1,4033_4052_611_633,R04432
1.3.8.1,4033_4052_611_633,R01175
1.3.8.1,4033_4052_611_633,R01178
1.3.8.1,4033_4052_611_633,R04751
1.3.8.1,4033_4052_633,R02661
1.3.8.1,4033_4052_633,R03172
1.3.8.1,4033_4052_633,R04432
1.3.8.1,4033_4052_633,R01178
1.3.8.14,4033_4052_633,R06747
1.3.8.4,4033_4052_633,R04095
1.3.8.4,4033_4052_633,R04096
1.3.8.5,4033_4052_633,R03169
1.3.8.6,4033_4052_633,R02487
1.3.8.6,4033_4052_633,R02488
1.3.8.6,4033_4052_633,R10074
1.3.8.6,4033_4052_633,R03028
1.3.8.7,4033_4052_633,R00392
1.3.98.1,2002,R01867
1.3.98.3,101_2002,R06895
1.3.98.5,304,R11522
1.3.98.5,304,R12454
1.3.98.5,304,R12455
1.3.99.17,179_217_221_231_244_325,R05152
1.3.99.27,2003_244,R07523
1.3.99.27,2003_244,R07534
1.3.99.27,2003_244,R07520
1.3.99.31,2003_244,R09716
1.3.99.31,2003_244,R09692
1.3.99.31,2003_244,R04798
1.3.99.31,2003_244,R04800
1.3.99.32,4033_4052_633,R05579
1.3.99.33,101_278,R10330
1.3.99.4,101_2003_278,R03748
1.3.99.4,101_2003_278,R09884
1.3.99.5,101_2003_278,R01834
1.3.99.5,101_2003_278,R02643
1.3.99.5,101_2003_278,R04827
1.4.1.1,2003_3692,R00145
1.4.1.1,2003_3692,R00146
1.4.1.1,2003_3692,R00365
1.4.1.1,2003_3692,R00396
1.4.1.1,2003,R00145
1.4.1.1,2003,R00146
1.4.1.1,2003,R00365
1.4.1.1,2003,R00396
1.4.1.13,187_2002_2003_207_210_304,R00114
1.4.1.13,187_2002_2003_207_210_304,R00256
1.4.1.13,187_2002_2003_207_210_304,R00248
1.4.1.13,2002_207_210_304,R00114
1.4.1.13,2002_207_210_304,R00256
1.4.1.13,2002_207_210_304,R00248
1.4.1.16,2003_298,R02755
1.4.1.17,276,R01584
1.4.1.18,2003_298,R10054
1.4.1.18,2003_298,R00446
1.4.1.18,2003_298,R02317
1.4.1.19,2003_2007,R00145
1.4.1.19,2003_2007,R00146
1.4.1.19,2003_2007,R00675
1.4.1.19,2003_2007,R00676
1.4.1.2,2003_2007,R00243
1.4.1.20,2003_2007,R09830
1.4.1.20,2003_2007,R00688
1.4.1.21,2003_298,R07407
1.4.1.21,2003_298,R07410
1.4.1.21,2003_298,R07164
1.4.1.21,2003_298,R07165
1.4.1.3,2003_2007,R00248
1.4.1.3,2007_PDBChainNotFound,R00145
1.4.1.3,2007_PDBChainNotFound,R00146
1.4.1.3,2007_PDBChainNotFound,R00243
1.4.1.3,2007_PDBChainNotFound,R00248
1.4.1.9,2003_2007,R01434
1.4.1.9,2003_2007,R02196
1.4.1.9,2003_2007,R01088
1.4.3.1,2003_244,R06124
1.4.3.1,2003_244,R00359
1.4.3.10,2003_244,R01151
1.4.3.13,11_358,R04239
1.4.3.14,2003_244,R00447
1.4.3.16,2003_278_604,R00357
1.4.3.16,2003_278_604,R00481
1.4.3.19,2003_244,R05861
1.4.3.19,2003_244,R05862
1.4.3.19,2003_244,R05863
1.4.3.19,2003_244,R00366
1.4.3.19,2003_244,R07463
1.4.3.19,2003_244,R10245
1.4.3.2,2003_244,R00357
1.4.3.2,2003_244,R00648
1.4.3.2,2003_244,R00677
1.4.3.2,2003_244,R00689
1.4.3.2,2003_244,R00729
1.4.3.2,2003_244,R01259
1.4.3.2,2003_244,R02197
1.4.3.20,11_3752,R07598
1.4.3.21,12_243,R01853
1.4.3.21,12_243,R02382
1.4.3.21,12_243,R02529
1.4.3.21,12_243,R02613
1.4.3.21,12_243,R03139
1.4.3.21,12_243,R04027
1.4.3.21,12_243,R04300
1.4.3.21,12_243,R05334
1.4.3.21,12_243,R06154
1.4.3.21,12_243,R06740
1.4.3.21,12_241_243,R01853
1.4.3.21,12_241_243,R02382
1.4.3.21,12_241_243,R02529
1.4.3.21,12_241_243,R02613
1.4.3.21,12_241_243,R03139
1.4.3.21,12_241_243,R04027
1.4.3.21,12_241_243,R04300
1.4.3.21,12_241_243,R05334
1.4.3.21,12_241_243,R06154
1.4.3.21,12_241_243,R06740
1.4.3.22,12_243,R01151
1.4.3.22,12_243,R02173
1.4.3.22,12_243,R04674
1.4.3.22,12_243,R02150
1.4.3.23,2003_244,R09560
1.4.3.3,2003_244,R04221
1.4.3.3,2003_244,R01340
1.4.3.3,2003_244,R02457
1.4.3.3,2003_244,R02894
1.4.3.3,2003_244,R02923
1.4.3.3,2003_244,R07400
1.4.3.4,222,R04907
1.4.3.4,222,R04908
1.4.3.4,222,R08346
1.4.3.4,222,R02173
1.4.3.4,222,R02382
1.4.3.4,222,R02529
1.4.3.4,222,R02532
1.4.3.4,222,R02613
1.4.3.4,222,R02908
1.4.3.4,222,R02919
1.4.3.4,222,R04025
1.4.3.4,222,R04300
1.4.3.4,222,R04674
1.4.3.4,222,R04890
1.4.3.4,222,R04893
1.4.3.4,222,R04894
1.4.3.4,222,R08347
1.4.3.4,222,R08348
1.4.3.4,222,R11354
1.4.3.4,2003_244,R04907
1.4.3.4,2003_244,R04908
1.4.3.4,2003_244,R08346
1.4.3.4,2003_244,R02173
1.4.3.4,2003_244,R02382
1.4.3.4,2003_244,R02529
1.4.3.4,2003_244,R02532
1.4.3.4,2003_244,R02613
1.4.3.4,2003_244,R02908
1.4.3.4,2003_244,R02919
1.4.3.4,2003_244,R04025
1.4.3.4,2003_244,R04300
1.4.3.4,2003_244,R04674
1.4.3.4,2003_244,R04890
1.4.3.4,2003_244,R04893
1.4.3.4,2003_244,R04894
1.4.3.4,2003_244,R08347
1.4.3.4,2003_244,R08348
1.4.3.4,2003_244,R11354
1.4.3.4,2003,R04907
1.4.3.4,2003,R04908
1.4.3.4,2003,R08346
1.4.3.4,2003,R02173
1.4.3.4,2003,R02382
1.4.3.4,2003,R02529
1.4.3.4,2003,R02532
1.4.3.4,2003,R02613
1.4.3.4,2003,R02908
1.4.3.4,2003,R02919
1.4.3.4,2003,R04025
1.4.3.4,2003,R04300
1.4.3.4,2003,R04674
1.4.3.4,2003,R04890
1.4.3.4,2003,R04893
1.4.3.4,2003,R04894
1.4.3.4,2003,R08347
1.4.3.4,2003,R08348
1.4.3.4,2003,R11354
1.4.3.5,1,R01710
1.4.3.5,1,R01711
1.4.3.5,1,R00277
1.4.3.5,1,R00278
1.4.4.2,3016_7577,R03425
1.4.4.2,3016,R03425
1.4.4.2,325,R03425
1.4.7.1,2002_207_210_304,R00021
1.4.7.1,2002_207_210_304,R10086
1.4.9.1,914,R00606
1.4.9.1,5_914,R00606
1.4.9.2,5_914,R02382
1.4.9.2,5_914,R02612
1.4.9.2,5_914,R04300
1.4.99.6,2003_244,R01342
1.4.99.6,2003_244,R07166
1.4.99.6,2003_244,R11018
1.4.99.6,2003_244,R11016
1.4.99.6,2003_244,R11017
1.5.1.10,2003_298,R02315
1.5.1.11,129_2003,R00562
1.5.1.15,2003_2007,R01218
